method,bin,cv_A,probability,pmf_kcal_mol,counts
umbrella_only,0,0.037104567109296716,0.002756340505747462,1.6907943934930352,1133
umbrella_only,1,0.06925855269655586,0.014498375988550907,0.7010875345826155,23245
umbrella_only,2,0.101412538283815,0.02452104831082213,0.38780763221141945,108700
umbrella_only,3,0.13356652387107412,0.027565873223689547,0.31802894179320806,177989
umbrella_only,4,0.16572050945833325,0.02883180610598329,0.29126092711746865,198215
umbrella_only,5,0.1978744950455924,0.032309726662294785,0.2233646178967692,198465
umbrella_only,6,0.23002848063285153,0.034855124991003864,0.17815659637154213,191778
umbrella_only,7,0.26218246622011065,0.03708095655275297,0.14125221471462068,183571
umbrella_only,8,0.2943364518073698,0.03908779294351329,0.1098305330588345,177687
umbrella_only,9,0.3264904373946289,0.040796907189700624,0.08431718101227537,174996
umbrella_only,10,0.35864442298188803,0.04253008934788728,0.05951357168205118,176950
umbrella_only,11,0.39079840856914716,0.044077788489477535,0.03820427380760738,177932
umbrella_only,12,0.42295239415640634,0.04539662510815824,0.020628382793014266,178782
umbrella_only,13,0.45510637974366547,0.046175853781989476,0.010482164617608758,182251
umbrella_only,14,0.4872603653309246,0.046994932778728696,0.0,187079
umbrella_only,15,0.5194143509181837,0.0445463335611367,0.03190054916419727,183010
umbrella_only,16,0.5515683365054429,0.042339352822324275,0.062193215127321455,176656
umbrella_only,17,0.5837223220927019,0.03969782244422794,0.10059830880682297,170642
umbrella_only,18,0.6158763076799612,0.04069177013745619,0.08585552170507094,170628
umbrella_only,19,0.6480302932672202,0.04275225984225774,0.05640742494348605,172676
umbrella_only,20,0.6801842788544794,0.042146927231766176,0.06490884858160051,178187
umbrella_only,21,0.7123382644417384,0.041900918361310616,0.06839879839080232,187753
umbrella_only,22,0.7444922500289977,0.04393225034893912,0.040175964401877984,200024
umbrella_only,23,0.7766462356162568,0.041698721150778786,0.07128259987870345,203799
umbrella_only,24,0.8088002212035159,0.03726647720566191,0.13827698198840443,200205
umbrella_only,25,0.8409542067907751,0.0322935271835534,0.22366359671193048,184646
umbrella_only,26,0.8731081923780342,0.019856034355872694,0.5136119128625822,132141
umbrella_only,27,0.9052621779652934,0.016492368470503622,0.6242655278653351,70163
umbrella_only,28,0.9374161635525524,0.006865154483237548,1.1467646500032769,14284
umbrella_only,29,0.9695701491398117,4.084042067320494e-05,4.2018178739375465,349
